participant_id,age,gender,education_level,income_bracket,satisfaction_score,usage_frequency,recommendation_score,completion_time_minutes
P001,28,F,Bachelor,30000-50000,8.5,daily,9,12.3
P002,35,M,Master,50000-75000,7.2,weekly,7,15.8
P003,42,F,PhD,75000-100000,9.1,daily,10,8.7
P004,29,M,Bachelor,30000-50000,6.8,monthly,6,18.4
P005,51,F,Master,100000+,8.9,daily,9,10.2
P006,33,M,Bachelor,50000-75000,7.5,weekly,8,14.1
P007,27,F,High School,under 30000,5.2,rarely,4,22.6
P008,45,M,PhD,100000+,9.3,daily,10,9.1
P009,38,F,Master,75000-100000,8.1,weekly,8,13.5
P010,31,M,Bachelor,50000-75000,6.9,monthly,7,16.9
P011,29,F,Bachelor,30000-50000,7.8,daily,8,11.7
P012,47,M,Master,75000-100000,8.6,weekly,9,12.4
P013,33,F,PhD,100000+,9.5,daily,10,7.8
P014,26,M,Bachelor,under 30000,5.8,rarely,5,20.3
P015,40,F,Master,75000-100000,8.3,weekly,8,13.9
P016,36,M,Bachelor,50000-75000,7.1,monthly,7,17.2
P017,44,F,PhD,100000+,9.2,daily,9,9.6
P018,30,M,Master,50000-75000,7.7,weekly,8,14.7
P019,25,F,Bachelor,under 30000,6.1,monthly,6,19.8
P020,52,M,PhD,100000+,8.8,daily,9,10.8
P021,34,F,Master,75000-100000,8.0,weekly,8,13.1
P022,39,M,Bachelor,50000-75000,7.3,monthly,7,16.5
P023,28,F,Bachelor,30000-50000,6.7,weekly,6,18.7
P024,46,M,PhD,100000+,9.4,daily,10,8.3
P025,32,F,Master,75000-100000,8.2,weekly,8,12.9
P026,37,M,Bachelor,50000-75000,7.0,monthly,7,17.8
P027,43,F,PhD,100000+,9.0,daily,9,9.9
P028,29,M,Bachelor,30000-50000,6.5,rarely,6,21.1
P029,35,F,Master,75000-100000,8.4,weekly,8,13.3
P030,41,M,PhD,100000+,9.1,daily,9,10.5
P031,27,F,Bachelor,under 30000,5.9,monthly,5,19.4
P032,48,M,Master,75000-100000,8.7,weekly,9,12.1
P033,33,F,PhD,100000+,9.6,daily,10,7.5
P034,31,M,Bachelor,50000-75000,7.2,monthly,7,16.7
P035,45,F,Master,100000+,8.9,daily,9,10.1
P036,38,M,Bachelor,75000-100000,7.6,weekly,8,14.3
P037,26,F,Bachelor,under 30000,6.0,rarely,5,20.9
P038,50,M,PhD,100000+,9.3,daily,10,8.9
P039,34,F,Master,75000-100000,8.1,weekly,8,13.7
P040,42,M,Bachelor,50000-75000,7.4,monthly,7,16.1
P041,30,F,Bachelor,30000-50000,6.8,weekly,7,18.2
P042,47,M,PhD,100000+,9.2,daily,9,9.3
P043,36,F,Master,75000-100000,8.3,weekly,8,12.8
P044,39,M,Bachelor,50000-75000,7.1,monthly,7,17.4
P045,28,F,Bachelor,30000-50000,6.4,rarely,6,21.5
P046,44,M,PhD,100000+,9.0,daily,9,10.7
P047,32,F,Master,75000-100000,8.2,weekly,8,13.4
P048,37,M,Bachelor,50000-75000,7.3,monthly,7,16.8
P049,25,F,Bachelor,under 30000,5.7,rarely,5,22.1
P050,49,M,PhD,100000+,8.8,daily,9,9.8 